# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
 3.3750000e+01  0.0000000e+00  1.0928663e+00
 3.4250000e+01  0.0000000e+00  1.0825979e+00
 3.4750000e+01  0.0000000e+00  1.0722699e+00
 3.5250000e+01  0.0000000e+00  1.0621467e+00
 3.5750000e+01  0.0000000e+00  1.0516461e+00
 3.6250000e+01  0.0000000e+00  1.0412134e+00
 3.6750000e+01  0.0000000e+00  1.0305301e+00
 3.7250000e+01  0.0000000e+00  1.0202370e+00
 3.7750000e+01  0.0000000e+00  1.0094844e+00
 3.8250000e+01  6.3426290e+23  9.9872110e-01
 3.8750000e+01  7.6409601e+23  9.8822044e-01
 3.9250000e+01  7.3440211e+23  9.7781544e-01
 3.9750000e+01  7.6139278e+23  9.6694665e-01
 4.0250000e+01  8.2804386e+23  9.5626529e-01
 4.0750000e+01  9.1456707e+23  9.4569607e-01
 4.1250000e+01  9.8276388e+23  9.3478260e-01
 4.1750000e+01  1.0443579e+24  9.2417694e-01
 4.2250000e+01  1.1120309e+24  9.1353008e-01
 4.2750000e+01  1.1825581e+24  9.0272901e-01
